Tipo,Descripcion,Localizacion,Atributos,Valor
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones2 baños49 m²,$ 99.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños51 m²,$ 154.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño51 m²,$ 172.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 m²,$ 249.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños50 m²,$ 310.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños49 m²,$ 202.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños59 m²,$ 369.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño53 m²,$ 184.500.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño33 m²,$ 84.150.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño55 m²,$ 134.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños57 m²,$ 306.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño53 m²,$ 170.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 295.000.000
Apartamento,Apartamento en venta en Portales Del Norte,"Portales Del Norte, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños74 m²,$ 353.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 m²,$ 270.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños49 m²,$ 177.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 m²,$ 312.000.000
Apartamento,Apartamento en venta en Portales Del Norte,"Portales Del Norte, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 m²,$ 270.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño36 m²,$ 202.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño42 m²,$ 138.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 m²,$ 327.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño41 m²,$ 116.820.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 295.000.000
Apartamento,Apartamento en venta en Capellania,"Capellania, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños65 m²,$ 296.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 m²,$ 204.930.000
Apartamento,Apartamento en venta en Ciudad Bolívar,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño40 m²,$ 171.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños61 m²,$ 186.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño49 m²,$ 120.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños51 m²,$ 205.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños59 m²,$ 440.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños88 m²,$ 500.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 m²,$ 350.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño36 m²,$ 167.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños61 m²,$ 251.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños74 m²,$ 205.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 m²,$ 225.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño44 m²,$ 176.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",5 habitaciones3 baños130 m²,$ 505.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños54 m²,$ 280.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 262.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños117 m²,$ 500.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños115 m²,$ 468.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños66 m²,$ 290.000.000
Apartamento,Apartamento en venta en Barrancas,"Barrancas, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 m²,$ 330.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño43 m²,$ 116.000.000
Apartamento,Apartamento en venta en Gran Granada,"Gran Granada, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños65 m²,$ 297.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 m²,$ 242.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños69 m²,$ 327.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños61 m²,$ 257.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños81 m²,$ 465.000.000
Apartamento,Apartamento en venta en Barrancas,"Barrancas, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños76 m²,$ 337.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños71 m²,$ 244.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños55 m²,$ 398.422.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño36 m²,$ 98.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños53 m²,$ 187.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño39 m²,$ 200.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños43 m²,$ 285.000.000
Apartamento,Apartamento en venta en San Antonio Norte,"San Antonio Norte, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 m²,$ 215.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño49 m²,$ 134.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño42 m²,$ 117.000.000
Apartamento,Apartamento en venta en Las Cruces,"Las Cruces, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 m²,$ 163.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños66 m²,$ 257.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños67 m²,$ 477.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 m²,$ 182.000.000
Casa,Casa en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños71 m²,$ 200.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 m²,$ 141.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños51 m²,$ 170.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 m²,$ 390.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños72 m²,$ 320.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños50 m²,$ 180.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño50 m²,$ 131.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño42 m²,$ 171.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 m²,$ 298.500.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 m²,$ 141.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños72 m²,$ 320.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 m²,$ 125.000.000
Apartamento,Apartamento en venta en San Cristobal,"San Cristobal, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño53 m²,$ 185.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño52 m²,$ 126.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños49 m²,$ 145.500.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño39 m²,$ 163.500.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños80 m²,$ 332.000.000
Casa,Casa en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños72 m²,$ 210.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño53 m²,$ 177.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños50 m²,$ 180.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños102 m²,$ 610.000.000
Casa,Casa en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 m²,$ 193.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños53 m²,$ 152.000.000
Apartamento,Apartamento en venta en Santa Fe,"Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 m²,$ 160.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño42 m²,$ 133.000.000
Casa,Casa en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños65 m²,$ 190.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños48 m²,$ 153.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 m²,$ 127.500.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño38 m²,$ 95.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños74 m²,$ 322.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño43 m²,$ 150.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 m²,$ 115.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño52 m²,$ 162.000.000
Apartamento,Apartamento en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños64 m²,$ 280.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 m²,$ 129.000.000
Casa,Casa en venta en Ciudad Bolívar,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño53 m²,$ 140.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños65 m²,$ 212.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 m²,$ 123.000.000
Apartamento,Apartamento en venta en Las Aguas,"Las Aguas, La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños55 m²,$ 138.000.000
Apartamento,Apartamento en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños64 m²,$ 280.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño52 m²,$ 162.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños49 m²,$ 182.000.000
Apartamento,Apartamento en venta en Nueva Zelandia,"Nueva Zelandia, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño39 m²,$ 200.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño31 m²,$ 110.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño41 m²,$ 115.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño41 m²,$ 114.000.000
Apartamento,Apartamento en venta en Lago De Suba,"Lago De Suba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños87 m²,$ 380.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños51 m²,$ 165.330.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños81 m²,$ 450.000.000
Casa,Casa en venta en Zona Franca,"Zona Franca, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño54 m²,$ 160.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño37 m²,$ 143.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños77 m²,$ 375.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños68 m²,$ 292.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 m²,$ 230.000.000
Apartamento,Apartamento en venta en Puente Largo,"Puente Largo, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños81 m²,$ 408.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños82 m²,$ 290.000.000
Apartamento,Apartamento en venta en Pasadena ,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación2 baños53 m²,$ 320.000.000
Apartamento,Apartamento en venta en La Candelaria,"La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones1 baño53 m²,$ 180.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 m²,$ 153.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación2 baños49 m²,$ 278.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños49 m²,$ 175.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños82 m²,$ 397.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 m²,$ 240.600.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño44 m²,$ 118.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños86 m²,$ 275.000.000
Apartamento,Apartamento en venta en Chapinero Central,"Chapinero Central, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños76 m²,$ 482.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño36 m²,$ 108.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños50 m²,$ 234.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño42 m²,$ 125.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño33 m²,$ 152.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 m²,$ 133.000.000
Apartamento,Apartamento en venta en San Patricio,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños68 m²,$ 380.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño54 m²,$ 145.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 m²,$ 145.000.000
Casa,Casa en venta en Ciudad Bolívar,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",4 habitaciones2 baños86 m²,$ 365.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño53 m²,$ 146.000.000
Apartamento,Apartamento en venta en Antonio Nariño,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño39 m²,$ 180.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños48 m²,$ 171.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 m²,$ 188.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 m²,$ 133.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 m²,$ 136.620.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño42 m²,$ 116.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños91 m²,$ 500.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño44 m²,$ 118.500.000
Apartamento,Apartamento en venta en Ciudad Bolívar,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones2 baños50 m²,$ 186.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño36 m²,$ 92.500.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños74 m²,$ 496.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños126 m²,$ 634.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 m²,$ 350.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños47 m²,$ 126.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños64 m²,$ 277.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 m²,$ 185.869.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños61 m²,$ 186.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños49 m²,$ 177.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños51 m²,$ 205.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños59 m²,$ 440.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños95 m²,$ 442.436.000
Apartamento,Apartamento en venta en Cantagallo,"Cantagallo, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño55 m²,$ 348.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños88 m²,$ 500.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño57 m²,$ 165.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños58 m²,$ 309.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño46 m²,$ 138.000.000
Apartamento,Apartamento en venta en Gran Granada,"Gran Granada, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños55 m²,$ 208.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 m²,$ 300.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños79 m²,$ 483.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño52 m²,$ 158.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño38 m²,$ 110.500.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño38 m²,$ 103.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 m²,$ 300.000.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño46 m²,$ 102.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones1 baño48 m²,$ 309.000.000
